Step      Train loss    Test loss     Test metric   
201000    [1.45e-06]    [1.43e-06]    [6.07e-02]    
202000    [1.54e-06]    [1.53e-06]    [6.18e-02]    
203000    [1.62e-06]    [1.60e-06]    [6.28e-02]    
204000    [1.49e-06]    [1.48e-06]    [6.10e-02]    
205000    [1.49e-06]    [1.47e-06]    [6.08e-02]    
206000    [1.45e-06]    [1.43e-06]    [6.05e-02]    
207000    [1.60e-06]    [1.56e-06]    [6.20e-02]    
208000    [1.47e-06]    [1.44e-06]    [6.03e-02]    
209000    [1.42e-06]    [1.40e-06]    [6.01e-02]    
210000    [1.42e-06]    [1.40e-06]    [6.00e-02]    
211000    [1.41e-06]    [1.39e-06]    [5.98e-02]    
212000    [1.48e-06]    [1.43e-06]    [6.04e-02]    
213000    [1.42e-06]    [1.40e-06]    [5.99e-02]    
214000    [1.48e-06]    [1.49e-06]    [6.07e-02]    
215000    [1.41e-06]    [1.38e-06]    [5.96e-02]    
216000    [1.43e-06]    [1.40e-06]    [5.98e-02]    
217000    [1.52e-06]    [1.49e-06]    [6.06e-02]    
218000    [1.40e-06]    [1.37e-06]    [5.94e-02]    
219000    [1.52e-06]    [1.50e-06]    [6.07e-02]    
220000    [1.40e-06]    [1.39e-06]    [5.95e-02]    
221000    [1.40e-06]    [1.38e-06]    [5.94e-02]    
222000    [1.41e-06]    [1.39e-06]    [5.94e-02]    
223000    [1.39e-06]    [1.38e-06]    [5.92e-02]    
224000    [1.48e-06]    [1.46e-06]    [6.04e-02]    
225000    [1.52e-06]    [1.49e-06]    [6.07e-02]    
226000    [1.36e-06]    [1.35e-06]    [5.89e-02]    
227000    [1.39e-06]    [1.38e-06]    [5.92e-02]    
228000    [1.42e-06]    [1.40e-06]    [5.93e-02]    
229000    [1.40e-06]    [1.38e-06]    [5.90e-02]    
230000    [1.61e-06]    [1.55e-06]    [6.12e-02]    
231000    [1.38e-06]    [1.36e-06]    [5.88e-02]    
232000    [1.44e-06]    [1.43e-06]    [5.96e-02]    
233000    [1.46e-06]    [1.45e-06]    [6.00e-02]    
234000    [1.36e-06]    [1.34e-06]    [5.85e-02]    
235000    [1.37e-06]    [1.35e-06]    [5.86e-02]    
236000    [1.38e-06]    [1.36e-06]    [5.87e-02]    
237000    [1.43e-06]    [1.42e-06]    [5.94e-02]    
238000    [1.36e-06]    [1.35e-06]    [5.84e-02]    
239000    [1.39e-06]    [1.38e-06]    [5.87e-02]    
240000    [1.40e-06]    [1.38e-06]    [5.88e-02]    
241000    [1.35e-06]    [1.33e-06]    [5.84e-02]    
242000    [1.39e-06]    [1.36e-06]    [5.86e-02]    
243000    [1.38e-06]    [1.37e-06]    [5.88e-02]    
244000    [1.41e-06]    [1.38e-06]    [5.86e-02]    
245000    [1.34e-06]    [1.31e-06]    [5.79e-02]    
246000    [1.41e-06]    [1.39e-06]    [5.87e-02]    
247000    [1.36e-06]    [1.34e-06]    [5.81e-02]    
248000    [1.38e-06]    [1.35e-06]    [5.83e-02]    
249000    [1.34e-06]    [1.32e-06]    [5.79e-02]    
250000    [1.37e-06]    [1.36e-06]    [5.83e-02]    
